
---------- Begin Simulation Statistics ----------
simSeconds                                   0.279972                       # Number of seconds simulated (Second)
simTicks                                 279971790000                       # Number of ticks simulated (Tick)
finalTick                                279971790000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  38057.43                       # Real time elapsed on the host (Second)
hostTickRate                                  7356561                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   10449760                       # Number of bytes of host memory used (Byte)
simInsts                                   3195112368                       # Number of instructions simulated (Count)
simOps                                     6091087680                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    83955                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     160050                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       559126202                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      385401329                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    2068                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     392393672                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                 24163                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             4710417                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined          5516167                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                337                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          554981938                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              0.707039                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.579813                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::SimdFloatReduceAdd            0      0.00%     73.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceCmp            0      0.00%     73.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAes                     0      0.00%     73.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAesMix                  0      0.00%     73.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha1Hash                0      0.00%     73.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha1Hash2               0      0.00%     73.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha256Hash              0      0.00%     73.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha256Hash2             0      0.00%     73.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShaSigma2               0      0.00%     73.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShaSigma3               0      0.00%     73.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdPredAlu                 0      0.00%     73.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::MemRead               1140398     18.12%     91.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::MemWrite               192458      3.06%     94.73% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMemRead           107485      1.71%     96.44% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMemWrite          223957      3.56%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IprAccess                   0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::InstPrefetch                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statIssuedInstType_0::No_OpClass     10502322      2.68%      2.68% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IntAlu    283460508     72.24%     74.92% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IntMult       252588      0.06%     74.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IntDiv        41058      0.01%     74.99% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatAdd      2301546      0.59%     75.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatCmp            0      0.00%     75.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatCvt         3240      0.00%     75.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMult            0      0.00%     75.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMultAcc            0      0.00%     75.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatDiv            0      0.00%     75.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMisc            0      0.00%     75.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatSqrt            0      0.00%     75.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAdd         8362      0.00%     75.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAddAcc            0      0.00%     75.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAlu       110840      0.03%     75.61% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdCmp            0      0.00%     75.61% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdCvt        18005      0.00%     75.61% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdMisc       324478      0.08%     75.70% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdMult            0      0.00%     75.70% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdMultAcc            0      0.00%     75.70% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShift         3191      0.00%     75.70% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShiftAcc            0      0.00%     75.70% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdDiv            0      0.00%     75.70% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSqrt            0      0.00%     75.70% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatAdd       308594      0.08%     75.77% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatAlu            0      0.00%     75.77% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatCmp            0      0.00%     75.77% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatCvt       308603      0.08%     75.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatDiv       308566      0.08%     75.93% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatMisc            0      0.00%     75.93% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatMult           58      0.00%     75.93% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatMultAcc            0      0.00%     75.93% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatSqrt            0      0.00%     75.93% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdReduceAdd            0      0.00%     75.93% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdReduceAlu            0      0.00%     75.93% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdReduceCmp            0      0.00%     75.93% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatReduceAdd            0      0.00%     75.93% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatReduceCmp            0      0.00%     75.93% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAes            0      0.00%     75.93% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAesMix            0      0.00%     75.93% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha1Hash            0      0.00%     75.93% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha1Hash2            0      0.00%     75.93% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha256Hash            0      0.00%     75.93% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha256Hash2            0      0.00%     75.93% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShaSigma2            0      0.00%     75.93% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShaSigma3            0      0.00%     75.93% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdPredAlu            0      0.00%     75.93% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::MemRead     60493078     15.42%     91.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::MemWrite     30716302      7.83%     99.18% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMemRead      2069953      0.53%     99.70% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMemWrite      1162380      0.30%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::total     392393672                       # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issueRate                        0.701798                       # Inst issue rate ((Count/Cycle))
system.cpu0.fuBusy                            6294064                       # FU busy when requested (Count)
system.cpu0.fuBusyRate                       0.016040                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu0.intInstQueueReads              1331462832                       # Number of integer instruction queue reads (Count)
system.cpu0.intInstQueueWrites              383111136                       # Number of integer instruction queue writes (Count)
system.cpu0.intInstQueueWakeupAccesses      377104097                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu0.fpInstQueueReads                 14624677                       # Number of floating instruction queue reads (Count)
system.cpu0.fpInstQueueWrites                 7004192                       # Number of floating instruction queue writes (Count)
system.cpu0.fpInstQueueWakeupAccesses         6844273                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu0.vecInstQueueReads                       0                       # Number of vector instruction queue reads (Count)
system.cpu0.vecInstQueueWrites                      0                       # Number of vector instruction queue writes (Count)
system.cpu0.vecInstQueueWakeupAccesses              0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu0.intAluAccesses                  380708346                       # Number of integer alu accesses (Count)
system.cpu0.fpAluAccesses                     7477068                       # Number of floating point alu accesses (Count)
system.cpu0.vecAluAccesses                          0                       # Number of vector alu accesses (Count)
system.cpu0.numInsts                        392348527                       # Number of executed instructions (Count)
system.cpu0.numLoadInsts                     62554574                       # Number of load instructions executed (Count)
system.cpu0.numSquashedInsts                    45145                       # Number of squashed instructions skipped in execute (Count)
system.cpu0.numSwp                                  0                       # Number of swp insts executed (Count)
system.cpu0.numNop                                  0                       # Number of nop insts executed (Count)
system.cpu0.numRefs                          94423441                       # Number of memory reference insts executed (Count)
system.cpu0.numBranches                      41335641                       # Number of branches executed (Count)
system.cpu0.numStoreInsts                    31868867                       # Number of stores executed (Count)
system.cpu0.numRate                          0.701717                       # Inst execution rate ((Count/Cycle))
system.cpu0.timesIdled                         241217                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu0.idleCycles                        4144264                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu0.committedInsts                  199694523                       # Number of Instructions Simulated (Count)
system.cpu0.committedOps                    380692980                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu0.cpi                              2.799908                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu0.totalCpi                         2.799908                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu0.ipc                              0.357155                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu0.totalIpc                         0.357155                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu0.intRegfileReads                 616569453                       # Number of integer regfile reads (Count)
system.cpu0.intRegfileWrites                295855890                       # Number of integer regfile writes (Count)
system.cpu0.fpRegfileReads                    4677798                       # Number of floating regfile reads (Count)
system.cpu0.fpRegfileWrites                   5371746                       # Number of floating regfile writes (Count)
system.cpu0.ccRegfileReads                  177786518                       # number of cc regfile reads (Count)
system.cpu0.ccRegfileWrites                  99874220                       # number of cc regfile writes (Count)
system.cpu0.miscRegfileReads                174706397                       # number of misc regfile reads (Count)
system.cpu0.miscRegfileWrites                    1080                       # number of misc regfile writes (Count)
system.cpu0.MemDepUnit__0.insertedLoads      55027204                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.insertedStores     31925121                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.conflictingLoads      2036125                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__0.conflictingStores      1995330                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__1.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__2.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__3.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.branchPred.lookups               41602851                       # Number of BP lookups (Count)
system.cpu0.branchPred.condPredicted         26099853                       # Number of conditional branches predicted (Count)
system.cpu0.branchPred.condIncorrect            28252                       # Number of conditional branches incorrect (Count)
system.cpu0.branchPred.BTBLookups            14230728                       # Number of BTB lookups (Count)
system.cpu0.branchPred.BTBHits               14224935                       # Number of BTB hits (Count)
system.cpu0.branchPred.BTBHitRatio           0.999593                       # BTB Hit Ratio (Ratio)
system.cpu0.branchPred.RASUsed                4934680                       # Number of times the RAS was used to get a target. (Count)
system.cpu0.branchPred.RASIncorrect                74                       # Number of incorrect RAS predictions. (Count)
system.cpu0.branchPred.indirectLookups        5029670                       # Number of indirect predictor lookups. (Count)
system.cpu0.branchPred.indirectHits           5015790                       # Number of indirect target hits. (Count)
system.cpu0.branchPred.indirectMisses           13880                       # Number of indirect misses. (Count)
system.cpu0.branchPred.indirectMispredicted         2090                       # Number of mispredicted indirect branches. (Count)
system.cpu0.commit.commitSquashedInsts        4692263                       # The number of squashed insts skipped by commit (Count)
system.cpu0.commit.commitNonSpecStalls           1731                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu0.commit.branchMispredicts            30019                       # The number of times a branch was mispredicted (Count)
system.cpu0.commit.numCommittedDist::samples    554358029                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::mean     0.686728                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::stdev     2.098228                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::0      487083615     87.86%     87.86% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::1       10398870      1.88%     89.74% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::2        3531941      0.64%     90.38% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::3        8283843      1.49%     91.87% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::4        3158034      0.57%     92.44% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::5        1448688      0.26%     92.70% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::6        2012198      0.36%     93.07% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::7        1096785      0.20%     93.26% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::8       37344055      6.74%    100.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::total    554358029                       # Number of insts commited each cycle (Count)
system.cpu0.commit.instsCommitted           199694523                       # Number of instructions committed (Count)
system.cpu0.commit.opsCommitted             380692980                       # Number of ops (including micro ops) committed (Count)
system.cpu0.commit.memRefs                   85755082                       # Number of memory references committed (Count)
system.cpu0.commit.loads                     54749667                       # Number of loads committed (Count)
system.cpu0.commit.amos                             0                       # Number of atomic instructions committed (Count)
system.cpu0.commit.membars                        434                       # Number of memory barriers committed (Count)
system.cpu0.commit.branches                  41078429                       # Number of branches committed (Count)
system.cpu0.commit.vectorInstructions               0                       # Number of committed Vector instructions. (Count)
system.cpu0.commit.floating                   6776280                       # Number of committed floating point instructions. (Count)
system.cpu0.commit.integer                  366587391                       # Number of committed integer instructions. (Count)
system.cpu0.commit.functionCalls              4920027                       # Number of function calls committed. (Count)
system.cpu0.commit.committedInstType_0::No_OpClass     10463427      2.75%      2.75% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntAlu    280534705     73.69%     76.44% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntMult       251918      0.07%     76.51% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntDiv        38434      0.01%     76.52% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatAdd      2269030      0.60%     77.11% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatCmp            0      0.00%     77.11% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatCvt         1920      0.00%     77.11% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMult            0      0.00%     77.11% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMultAcc            0      0.00%     77.11% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatDiv            0      0.00%     77.11% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMisc            0      0.00%     77.11% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatSqrt            0      0.00%     77.11% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAdd         7624      0.00%     77.11% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAddAcc            0      0.00%     77.11% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAlu       105953      0.03%     77.14% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdCmp            0      0.00%     77.14% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdCvt        15670      0.00%     77.15% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMisc       322003      0.08%     77.23% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMult            0      0.00%     77.23% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMultAcc            0      0.00%     77.23% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdShift         1407      0.00%     77.23% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdShiftAcc            0      0.00%     77.23% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdDiv            0      0.00%     77.23% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdSqrt            0      0.00%     77.23% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatAdd       308594      0.08%     77.31% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatAlu            0      0.00%     77.31% # Class of committed instruction (Count)
